queryID, query, similarity, totalcount
0,""vulnerability" "habits" -is:retweet -is:quote -is:reply",0.3619109056042902,10
1,""vulnerability" "habit" -is:retweet -is:quote -is:reply",0.28743051284892007,7
2,""vulnerability" "substance abuse" -is:retweet -is:quote -is:reply",0.585934563597898,1
3,""vulnerability" "drug abuse" -is:retweet -is:quote -is:reply",0.4400727307823522,2
4,""vulnerability" "lifestyle" -is:retweet -is:quote -is:reply",0.38682981255634713,25
5,""vulnerability" "life style" -is:retweet -is:quote -is:reply",0.3736521956670718,1
6,""vulnerability" "life-style" -is:retweet -is:quote -is:reply",0.33023349777456296,1
7,""vulnerability" "modus vivendi" -is:retweet -is:quote -is:reply",0.1492224365389197,0
8,""vulnerability" "diets" -is:retweet -is:quote -is:reply",0.21672718618567957,3
9,""vulnerability" "diet" -is:retweet -is:quote -is:reply",0.1931744276859473,4
10,""vulnerability" "dieting" -is:retweet -is:quote -is:reply",0.4989210641842553,0
11,""vulnerability" "food" -is:retweet -is:quote -is:reply",0.2614864314946686,400
12,""vulnerability" "nutrient" -is:retweet -is:quote -is:reply",0.4344171976050296,1
13,""vulnerability" "solid food" -is:retweet -is:quote -is:reply",0.3277426258140023,0
14,""vulnerability" "food for thought" -is:retweet -is:quote -is:reply",0.45447841523559673,1
15,""vulnerability" "intellectual nourishment" -is:retweet -is:quote -is:reply",0.6284640054613173,0
16,""vulnerability" "healthy food" -is:retweet -is:quote -is:reply",0.3722053302507585,0
17,""vulnerability" "obesity" -is:retweet -is:quote -is:reply",0.4437801106258225,8
18,""vulnerability" "overweight" -is:retweet -is:quote -is:reply",0.4991731694428744,0
19,""vulnerability" "anorexia" -is:retweet -is:quote -is:reply",0.2003910388811136,1
20,""vulnerability" "bulimia" -is:retweet -is:quote -is:reply",0.11931224038173027,0
21,""vulnerability" "underweight" -is:retweet -is:quote -is:reply",0.47953416785217706,0
22,""vulnerability" "nutrition" -is:retweet -is:quote -is:reply",0.4990030329812153,11
23,""vulnerability" "nutriment" -is:retweet -is:quote -is:reply",0.5560691537637727,0
24,""vulnerability" "nourishment" -is:retweet -is:quote -is:reply",0.5268121037467748,2
25,""vulnerability" "sustenance" -is:retweet -is:quote -is:reply",0.5505592827102792,0
26,""vulnerability" "aliment" -is:retweet -is:quote -is:reply",0.4591652257042937,0
27,""vulnerability" "alimentation" -is:retweet -is:quote -is:reply",0.5935429481868125,0
28,""vulnerability" "victuals" -is:retweet -is:quote -is:reply",0.23334874421293586,0
29,""vulnerability" "economical resources" -is:retweet -is:quote -is:reply",0.6677802496865053,0
30,""vulnerability" "physical exercise" -is:retweet -is:quote -is:reply",0.6033533264883731,0
31,""vulnerability" "exercise" -is:retweet -is:quote -is:reply",0.42210701631943065,23
32,""vulnerability" "exercising" -is:retweet -is:quote -is:reply",0.49587455963072824,4
33,""vulnerability" "physical exertion" -is:retweet -is:quote -is:reply",0.6874994899656378,0
34,""vulnerability" "workout" -is:retweet -is:quote -is:reply",0.22053251881220554,4
35,""vulnerability" "sleep quality" -is:retweet -is:quote -is:reply",0.4763482636926262,0
36,""vulnerability" "sexual education" -is:retweet -is:quote -is:reply",0.5570702739192175,0
37,""vulnerability" "activities" -is:retweet -is:quote -is:reply",0.544713325288257,51
38,""vulnerability" "activity" -is:retweet -is:quote -is:reply",0.6192297913627283,230
39,""vulnerability" "activeness" -is:retweet -is:quote -is:reply",0.7701461137894596,0
40,""vulnerability" "bodily process" -is:retweet -is:quote -is:reply",0.5904968218548163,0
41,""vulnerability" "body process" -is:retweet -is:quote -is:reply",0.5406081374118921,0
42,""vulnerability" "bodily function" -is:retweet -is:quote -is:reply",0.6323462658172029,0
43,""vulnerability" "natural process" -is:retweet -is:quote -is:reply",0.6231117094628166,0
44,""vulnerability" "natural action" -is:retweet -is:quote -is:reply",0.6216757438629317,0
45,""vulnerability" "computer" -is:retweet -is:quote -is:reply",0.48180486167210507,218
46,""vulnerability" "computing machine" -is:retweet -is:quote -is:reply",0.5760580504198746,0
47,""vulnerability" "computing device" -is:retweet -is:quote -is:reply",0.6408925875341208,0
48,""vulnerability" "data processor" -is:retweet -is:quote -is:reply",0.5682700542633325,0
49,""vulnerability" "electronic computer" -is:retweet -is:quote -is:reply",0.5100122373283204,0
50,""vulnerability" "information processing system" -is:retweet -is:quote -is:reply",0.6968308235398817,0
51,""vulnerability" "smartphone" -is:retweet -is:quote -is:reply",0.354897662620847,10
52,""vulnerability" "IPhone" -is:retweet -is:quote -is:reply",0.17918759492814415,83
53,""vulnerability" "Android" -is:retweet -is:quote -is:reply",0.2685797837339947,114
54,""vulnerability" "TV" -is:retweet -is:quote -is:reply",0,70
55,""vulnerability" "television" -is:retweet -is:quote -is:reply",0.2164741138737434,10
56,""vulnerability" "telecasting" -is:retweet -is:quote -is:reply",0.42577104681511446,0
57,""vulnerability" "tv" -is:retweet -is:quote -is:reply",0,70
