queryID, query, similarity
1,"""vulnerability"" ""habit"" -is:retweet -is:quote -is:reply",0.28743051284892007
2,"""vulnerability"" ""substance abuse"" -is:retweet -is:quote -is:reply",0.585934563597898
3,"""vulnerability"" ""drug abuse"" -is:retweet -is:quote -is:reply",0.4400727307823522
4,"""vulnerability"" ""lifestyle"" -is:retweet -is:quote -is:reply",0.38682981255634713
5,"""vulnerability"" ""life style"" -is:retweet -is:quote -is:reply",0.3736521956670718
6,"""vulnerability"" ""life-style"" -is:retweet -is:quote -is:reply",0.33023349777456296
7,"""vulnerability"" ""diet"" -is:retweet -is:quote -is:reply",0.1931744276859473
8,"""vulnerability"" ""dieting"" -is:retweet -is:quote -is:reply",0.4989210641842553
9,"""vulnerability"" ""food"" -is:retweet -is:quote -is:reply",0.2614864314946686
10,"""vulnerability"" ""nutrient"" -is:retweet -is:quote -is:reply",0.4344171976050296
11,"""vulnerability"" ""solid food"" -is:retweet -is:quote -is:reply",0.3277426258140023
12,"""vulnerability"" ""healthy food"" -is:retweet -is:quote -is:reply",0.3722053302507585
13,"""vulnerability"" ""obesity"" -is:retweet -is:quote -is:reply",0.4437801106258225
14,"""vulnerability"" ""overweight"" -is:retweet -is:quote -is:reply",0.4991731694428744
15,"""vulnerability"" ""anorexia"" -is:retweet -is:quote -is:reply",0.2003910388811136
16,"""vulnerability"" ""bulimia"" -is:retweet -is:quote -is:reply",0.11931224038173027
17,"""vulnerability"" ""underweight"" -is:retweet -is:quote -is:reply",0.47953416785217706
18,"""vulnerability"" ""nutrition"" -is:retweet -is:quote -is:reply",0.4990030329812153
19,"""vulnerability"" ""nutriment"" -is:retweet -is:quote -is:reply",0.5560691537637727
20,"""vulnerability"" ""nourishment"" -is:retweet -is:quote -is:reply",0.5268121037467748
21,"""vulnerability"" ""sustenance"" -is:retweet -is:quote -is:reply",0.5505592827102792
22,"""vulnerability"" ""aliment"" -is:retweet -is:quote -is:reply",0.4591652257042937
23,"""vulnerability"" ""alimentation"" -is:retweet -is:quote -is:reply",0.5935429481868125
24,"""vulnerability"" ""victuals"" -is:retweet -is:quote -is:reply",0.23334874421293586
25,"""vulnerability"" ""economical resources"" -is:retweet -is:quote -is:reply",0.6677802496865053
26,"""vulnerability"" ""physical exercise"" -is:retweet -is:quote -is:reply",0.6033533264883731
27,"""vulnerability"" ""exercise"" -is:retweet -is:quote -is:reply",0.42210701631943065
28,"""vulnerability"" ""exercising"" -is:retweet -is:quote -is:reply",0.49587455963072824
29,"""vulnerability"" ""physical exertion"" -is:retweet -is:quote -is:reply",0.6874994899656378
30,"""vulnerability"" ""workout"" -is:retweet -is:quote -is:reply",0.22053251881220554
31,"""vulnerability"" ""sleep quality"" -is:retweet -is:quote -is:reply",0.4763482636926262
