queryID,query
1,"""healthy habits"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
2,"""bad habits"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
3,"""drug"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
4,"""smoking"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
5,"""tobacco"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
6,"""nicotine"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
7,"""addiction"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
8,"""alcohol"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
9,"""drunkenness"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
10,"""alcoholism"" (""children"" OR ""child"" OR ""kid"" OR ""youngster"" OR ""minor"" OR ""baby"" OR ""teenager"" OR ""infant"" OR ""adolescent"" OR ""juvenile"" OR ""kiddie"" OR ""youth"" OR ""pediatrics"" OR ""neonatal"") -is:retweet -is:quote -is:reply"
